gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Symbiodinium40339,NA,23.39232123976643,-1.470113616471307,0.1950655669512762,-7.53651010502799,4.827155803196725e-14,7.677323129661992e-11,Variable vs Initial
Symbiodinium10122,RNA-binding protein mei2 homologue,4.02970253348884,1.559668756219433,0.3051413575175425,5.111299133319768,3.199508967830865e-7,8.326867521005634e-5,Variable vs Initial
Symbiodinium15132,Belongs to the AB hydrolase superfamily. Lipase family,13.585831813184909,1.5259951851460862,0.33463948770434376,4.56011690555274,5.112515084738794e-6,9.382120631147576e-4,Variable vs Initial
Symbiodinium23536,NA,3.539519772207479,1.750590850359972,0.35364744638881557,4.950101770098166,7.417468437362138e-7,1.7995532747864e-4,Variable vs Initial
Symbiodinium28162,NA,11.60839664007607,-1.4182678690352897,0.2360235458509502,-6.009010092285162,1.8665950698110996e-9,8.349513071648774e-7,Variable vs Initial
Symbiodinium28305,NA,25.635763611882503,-1.5046524842973714,0.2130196047005335,-7.063446044849426,1.6242328559033124e-12,1.4965035504035662e-9,Variable vs Initial
Symbiodinium29091,NA,7.084571801026337,-1.520080847770923,0.3323966018530788,-4.573093826160134,4.8057480341254235e-6,8.933698358502769e-4,Variable vs Initial
Symbiodinium30826,NA,4.110918253543251,-1.9422531972885568,0.4317984553023979,-4.498054991716805,6.857796126634922e-6,0.00112830452593853,Variable vs Initial
Symbiodinium52884,NA,3.3515693473340624,1.3828635837956669,0.3208824998880695,4.30956373213883,1.635769146862059e-5,0.00222994281601747,Variable vs Initial
Symbiodinium74449,Belongs to the eukaryotic ribosomal protein eS8 family,6.0083676096974905,1.4568978018123655,0.3197327016500384,4.556611801963895,5.198537388953464e-6,9.419223314617708e-4,Variable vs Initial
